created at 2024/01/12 11:34:10
発電所ID,発電所名,状態・故障信号ID,状態・故障信号名,状態・故障種別
S001,道の駅木更津うまくたの里,ANN_981_0,リモートIO 通信異常,high
S001,道の駅木更津うまくたの里,ANN_9999_0,アダプタ通信異常,high
S001,道の駅木更津うまくたの里,ANN_002_0,双方向電源_動作_運転準備,status
S001,道の駅木更津うまくたの里,ANN_003_0,双方向電源_動作_運転,status
S001,道の駅木更津うまくたの里,ANN_004_0,双方向電源_動作_待機中,status
S001,道の駅木更津うまくたの里,ANN_005_0,双方向電源_動作_警報総合,status
S001,道の駅木更津うまくたの里,ANN_006_0,双方向電源_動作_連携運転,status
S001,道の駅木更津うまくたの里,ANN_007_0,双方向電源_動作_自立運転,status
S001,道の駅木更津うまくたの里,ANN_008_0,双方向電源_動作_受電,status
S001,道の駅木更津うまくたの里,ANN_009_0,双方向電源_動作_同期,status
S001,道の駅木更津うまくたの里,ANN_010_0,双方向電源_動作_直送出力,status
S001,道の駅木更津うまくたの里,ANN_011_0,双方向電源_動作_自立運転定電流,status
S001,道の駅木更津うまくたの里,ANN_012_0,双方向電源_動作_設定値不良,status
S001,道の駅木更津うまくたの里,ANN_013_0,双方向電源_動作_入力ブレーカ,status
S001,道の駅木更津うまくたの里,ANN_014_0,双方向電源_動作_出力ブレーカ,status
S001,道の駅木更津うまくたの里,ANN_015_0,双方向電源_動作_バッテリMC,status
S001,道の駅木更津うまくたの里,ANN_016_0,双方向電源_動作_リモート・ローカル,status
S001,道の駅木更津うまくたの里,ANN_017_0,双方向電源_電力制限_蓄電池全電圧上限制限,status
S001,道の駅木更津うまくたの里,ANN_018_0,双方向電源_電力制限_蓄電池全電圧下限制限,status
S001,道の駅木更津うまくたの里,ANN_019_0,双方向電源_電力制限_蓄電池充電電流制限,status
S001,道の駅木更津うまくたの里,ANN_020_0,双方向電源_電力制限_蓄電池放電電流制限,status
S001,道の駅木更津うまくたの里,ANN_021_0,双方向電源_電力制限_強制充電中,status
S001,道の駅木更津うまくたの里,ANN_022_0,双方向電源_電力制限_自立運転禁止中,status
S001,道の駅木更津うまくたの里,ANN_023_0,双方向電源_電力制限_再連係後放電制限,status
S001,道の駅木更津うまくたの里,ANN_024_0,双方向電源_電力制限_入力電力制限,status
S001,道の駅木更津うまくたの里,ANN_025_0,双方向電源_電力制限_逆潮流制限,status
S001,道の駅木更津うまくたの里,ANN_026_0,双方向電源_電力制限_系統電圧下限制限,status
S001,道の駅木更津うまくたの里,ANN_027_0,双方向電源_電力制限_系統電圧上限制限,status
S001,道の駅木更津うまくたの里,ANN_028_0,双方向電源_電力制限_蓄電池BMS充電制限,status
S001,道の駅木更津うまくたの里,ANN_029_0,双方向電源_電力制限_蓄電池BMS放電制限,status
S001,道の駅木更津うまくたの里,ANN_030_0,双方向電源_電力制限_蓄電池BMS温度制限,status
S001,道の駅木更津うまくたの里,ANN_031_0,双方向電源_電力制限_電力制限総合,status
S001,道の駅木更津うまくたの里,ANN_032_0,双方向電源_その他_上位通信状態,status
S001,道の駅木更津うまくたの里,ANN_033_0,双方向電源_その他_自動モード停電時再連係禁止,status
S001,道の駅木更津うまくたの里,ANN_034_0,双方向電源_その他_BMU起動信号,status
S001,道の駅木更津うまくたの里,ANN_035_0,双方向電源_その他_デマンド警報発生,status
S001,道の駅木更津うまくたの里,ANN_036_0,双方向電源_その他_RPR抑制,status
S001,道の駅木更津うまくたの里,ANN_037_0,双方向電源_その他_外部信号入力表示,status
S001,道の駅木更津うまくたの里,ANN_038_0,双方向電源_軽故障_軽故障総合,low
S001,道の駅木更津うまくたの里,ANN_039_0,双方向電源_軽故障_ファン停止,low
S001,道の駅木更津うまくたの里,ANN_040_0,双方向電源_軽故障_RTC異常,low
S001,道の駅木更津うまくたの里,ANN_041_0,双方向電源_軽故障_ログ保存失敗,low
S001,道の駅木更津うまくたの里,ANN_042_0,双方向電源_軽故障_蓄電池(BMS)異常,low
S001,道の駅木更津うまくたの里,ANN_043_0,双方向電源_軽故障_蓄電池盤異常,low
S001,道の駅木更津うまくたの里,ANN_044_0,双方向電源_軽故障_蓄電池並列数不足,low
S001,道の駅木更津うまくたの里,ANN_045_0,双方向電源_軽故障_運転停止警告,low
S001,道の駅木更津うまくたの里,ANN_046_0,双方向電源_軽故障_外部受電点計測異常,low
S001,道の駅木更津うまくたの里,ANN_047_0,双方向電源_軽故障_空調異常,low
S001,道の駅木更津うまくたの里,ANN_048_0,双方向電源_軽故障_外部地絡過電圧ﾘﾚｰ(OVGR),low
S001,道の駅木更津うまくたの里,ANN_049_0,双方向電源_軽故障_単独運転検出(受動),low
S001,道の駅木更津うまくたの里,ANN_050_0,双方向電源_軽故障_単独運転検出(能動),low
S001,道の駅木更津うまくたの里,ANN_051_0,双方向電源_軽故障_周囲温度以上,low
