created at 2024/01/12 15:09:44
発電所ID,発電所名,設備名,タグID,信号名,単位,1min,30min,hour,day,month,year,乗数
S001,道の駅木更津うまくたの里,-,1.1,直流電力,kW,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.2,気温,℃,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.3,日射量,kWh/m2,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.4,直流電圧,V,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.5,直流電流,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.6,発電電力量,kWh,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.7,交流電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.8,交流電流,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.9,系統周波数,Hz,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.10,交流電力,kW,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.11,積算電力量カウンタ値,kWh,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.12,PV直流電力,kW,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.13,PV直流電圧,V,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.14,PV直流電流,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.15,PV拡張エラーコード,,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.16,系統電流V,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.17,系統電流W,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.18,PE 間電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.19,EN 間電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,1.20,直流逆電流1,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.1,PCS1 直流電力,kW,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.2,PCS1 気温,℃,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.3,PCS1 日射量,kWh/m2,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.4,PCS1 直流電圧,V,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.5,PCS1 直流電流,A,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.6,PCS1 発電電力量,kWh,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.7,PCS1 交流電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.8,PCS1 交流電流,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.9,PCS1 系統周波数,Hz,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.10,PCS1 交流電力,kW,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.11,PCS1 積算電力量カウンタ値,kWh,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.12,PCS1 PV直流電力,kW,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.13,PCS1 PV直流電圧,V,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.14,PCS1 PV直流電流,A,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.15,PCS1 PV拡張エラーコード,,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.16,PCS1 系統電流V,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.17,PCS1 系統電流W,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.18,PCS1 PE 間電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.19,PCS1 EN 間電圧,kV,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,PCS1,2.1.20,PCS1 直流逆電流1,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.1,モニタ①_出力電圧モニタ（代表値）,V,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.2,モニタ①_出力電流モニタ（代表値）,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.3,モニタ①_出力周波数モニタ,Hz,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.4,モニタ①_出力有効電力モニタ（代表値）,kW,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.5,モニタ①_出力力率モニタ,,1,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.6,モニタ①_出力平均電力量,kWh,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.7,モニタ②_INV電圧モニタ（代表値）,V,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.8,モニタ②_INV電流モニタ（代表値）,A,0,1,1,1,1,1,
S001,道の駅木更津うまくたの里,-,5.9,モニタ②_INV周波数モニタ,Hz,0,1,1,1,1,1,
